index	vi_meaning	en_definition	example_meaning_en	example_meaning_vi	example_usage_en	example_usage_vi	usage_note
53	xấu; tệ	of poor quality, unpleasant, or harmful	The weather is bad today.	Thời tiết hôm nay xấu.	Smoking is bad for your health.	Hút thuốc có hại cho sức khỏe.	Use bad for to describe something harmful.
54	túi	a container made of flexible material used for carrying things	Her books are in the bag.	Sách của cô ấy ở trong túi.	He packed a bag for the weekend.	Anh ấy xếp một túi đồ cho cuối tuần.	Common phrases include a shopping bag and pack a bag.
55	quả bóng	a round object used in games and sports	The children kicked the ball.	Bọn trẻ đá quả bóng.	Throw the ball to me.	Ném bóng cho tôi.	Common verbs with ball are throw, catch, and kick.
56	quả chuối	a long curved fruit with yellow skin	She put a banana in her lunch box.	Cô ấy đặt một quả chuối vào hộp cơm trưa.	I made a banana smoothie.	Tôi làm một ly sinh tố chuối.	Banana is countable; banana can also describe a flavor or ingredient.
57	ban nhạc	a group of musicians who perform together	The band played three songs.	Ban nhạc đã chơi ba bài hát.	My brother plays in a rock band.	Anh trai tôi chơi trong một ban nhạc rock.	Use play in a band for membership.
58	ngân hàng	a business that keeps and lends money	The bank closes at five.	Ngân hàng đóng cửa lúc năm giờ.	I need to take some money out of the bank.	Tôi cần rút một ít tiền từ ngân hàng.	This card uses the money sense of bank.
59	quán bar; quầy phục vụ	a place or counter where drinks are served	We met at a small bar near the hotel.	Chúng tôi gặp nhau tại một quán bar nhỏ gần khách sạn.	He ordered water at the bar.	Anh ấy gọi nước tại quầy.	At the bar can mean at the serving counter.
60	bóng chày	a game in which players hit a ball with a bat and run around bases	They play baseball after school.	Họ chơi bóng chày sau giờ học.	He is on the school baseball team.	Cậu ấy ở trong đội bóng chày của trường.	Use play baseball without an article.
61	bóng rổ	a game in which players throw a ball through a high ring	Basketball is popular at our school.	Bóng rổ phổ biến ở trường chúng tôi.	She plays basketball twice a week.	Cô ấy chơi bóng rổ hai lần một tuần.	Use play basketball without an article.
62	việc tắm; nước tắm	the act of washing your body in water, or the water used for it	The child is having a bath.	Đứa trẻ đang tắm.	I take a warm bath before bed.	Tôi tắm nước ấm trước khi ngủ.	Have a bath and take a bath are both common.
63	phòng tắm	a room containing a toilet, sink, and often a bath or shower	The bathroom is next to the bedroom.	Phòng tắm ở cạnh phòng ngủ.	May I use your bathroom?	Tôi có thể dùng nhà vệ sinh của bạn không?	In American English, bathroom can politely mean toilet.
64	thì; là; ở	the basic verb used to describe identity, condition, or location	I want to be a doctor.	Tôi muốn trở thành bác sĩ.	Be careful on the stairs.	Hãy cẩn thận trên cầu thang.	Forms of be include am, is, are, was, and were.
65	bãi biển	a sandy or stony area beside the sea or a lake	We walked along the beach.	Chúng tôi đi bộ dọc bãi biển.	They spent the day at the beach.	Họ dành cả ngày ở bãi biển.	Use at the beach for being there and on the beach for the surface.
66	đẹp; xinh đẹp	very attractive or pleasant to see	The garden is beautiful in spring.	Khu vườn rất đẹp vào mùa xuân.	What a beautiful day!	Thật là một ngày đẹp trời!	Beautiful can describe people, places, things, or experiences.
67	bởi vì	for the reason that	We stayed inside because it was raining.	Chúng tôi ở trong nhà vì trời mưa.	She smiled because she was happy.	Cô ấy mỉm cười vì vui.	Because introduces a clause with a subject and verb.
68	trở thành	to begin to be something	The sky became dark.	Bầu trời trở nên tối.	He wants to become a teacher.	Anh ấy muốn trở thành giáo viên.	Become is followed by a noun or adjective.
69	giường	a piece of furniture used for sleeping	The cat is under the bed.	Con mèo ở dưới gầm giường.	I usually go to bed at eleven.	Tôi thường đi ngủ lúc mười một giờ.	Go to bed means begin sleeping and normally has no article.
70	phòng ngủ	a room used mainly for sleeping	Her bedroom has a large window.	Phòng ngủ của cô ấy có một cửa sổ lớn.	There are two bedrooms upstairs.	Có hai phòng ngủ ở tầng trên.	Bedroom is countable.
71	bia	an alcoholic drink made from grain	He ordered a glass of beer.	Anh ấy gọi một ly bia.	Would you like a beer?	Bạn có muốn một ly bia không?	Beer is uncountable for the drink, but a beer means one serving.
72	trước; trước khi	earlier than someone or something	Wash your hands before dinner.	Hãy rửa tay trước bữa tối.	We arrived before eight o'clock.	Chúng tôi đến trước tám giờ.	Before can introduce a noun, time, or -ing form.
73	bắt đầu	to start happening or doing something	The movie begins at seven.	Bộ phim bắt đầu lúc bảy giờ.	She began to learn English last year.	Cô ấy bắt đầu học tiếng Anh năm ngoái.	Begin can be followed by to + verb or an -ing form.
74	sự khởi đầu; phần đầu	the first part of an event, story, or period	The beginning of the movie was funny.	Phần đầu bộ phim rất vui.	Let's start from the beginning.	Hãy bắt đầu lại từ đầu.	Use the beginning of something.
75	phía sau; đằng sau	at or toward the back of someone or something	The car is behind the bus.	Chiếc xe hơi ở sau xe buýt.	She looked behind but saw nobody.	Cô ấy nhìn ra phía sau nhưng không thấy ai.	Behind can be followed by an object or used alone.
76	tin; tin tưởng	to think that something is true	I believe your story.	Tôi tin câu chuyện của bạn.	Do you believe in ghosts?	Bạn có tin vào ma không?	Believe someone means accept their words; believe in means accept that something exists.
77	ở dưới; thấp hơn	in or to a lower position than something	The temperature fell below zero.	Nhiệt độ giảm xuống dưới không.	Please read the note below.	Vui lòng đọc ghi chú bên dưới.	Below can be a preposition or an adverb.
78	tốt nhất	of the highest quality or level	This is the best restaurant in town.	Đây là nhà hàng tốt nhất trong thị trấn.	Try your best in the test.	Hãy cố gắng hết sức trong bài kiểm tra.	Best is the superlative form of good.
79	tốt hơn	of higher quality or more suitable	This book is better than that one.	Cuốn sách này hay hơn cuốn kia.	I feel much better today.	Hôm nay tôi cảm thấy khỏe hơn nhiều.	Better is the comparative form of good; use better than for comparison.
80	giữa; ở khoảng giữa	in the space separating two people, places, times, or things	The bank is between the cafe and the hotel.	Ngân hàng nằm giữa quán cà phê và khách sạn.	Choose between the blue shirt and the black one.	Hãy chọn giữa áo xanh và áo đen.	Between commonly connects two alternatives with and.
81	xe đạp	a vehicle with two wheels that you move by pushing pedals	She rides her bicycle to school.	Cô ấy đi xe đạp đến trường.	He came by bicycle.	Anh ấy đến bằng xe đạp.	Ride a bicycle, but travel by bicycle.
82	to; lớn	large in size or amount	They live in a big house.	Họ sống trong một ngôi nhà lớn.	Moving abroad was a big decision.	Chuyển ra nước ngoài là một quyết định lớn.	Big can describe physical size or importance.
83	xe đạp	a bicycle	My bike is outside.	Xe đạp của tôi ở bên ngoài.	We went for a bike ride.	Chúng tôi đi đạp xe.	Bike is the common informal word for bicycle.
84	hóa đơn; tờ tiền	a written statement of money owed, or a piece of paper money	The electricity bill arrived today.	Hóa đơn tiền điện đến hôm nay.	Can we have the bill, please?	Cho chúng tôi xin hóa đơn được không?	In a restaurant, bill is common; American English also uses check.
85	chim	an animal with feathers, wings, and a beak	A small bird landed on the wall.	Một con chim nhỏ đậu trên tường.	We heard birds singing in the trees.	Chúng tôi nghe tiếng chim hót trên cây.	Bird is countable.
86	sinh nhật	the day each year that marks when someone was born	Today is my birthday.	Hôm nay là sinh nhật của tôi.	We bought her a birthday cake.	Chúng tôi mua cho cô ấy một chiếc bánh sinh nhật.	Birthday often modifies nouns: birthday party, card, or cake.
87	màu đen; đen	the darkest color, or having that color	He is wearing a black coat.	Anh ấy đang mặc một chiếc áo khoác đen.	The photo is in black and white.	Bức ảnh có màu đen trắng.	Black can be an adjective or a noun naming the color.
88	blog	a website or page where someone regularly posts writing or pictures	She writes a travel blog.	Cô ấy viết một blog du lịch.	I posted the recipe on my blog.	Tôi đăng công thức lên blog của mình.	Write a blog, but post something on a blog.
89	vàng hoe; tóc vàng	having pale yellow hair	The child has blond hair.	Đứa trẻ có mái tóc vàng hoe.	He is tall and blond.	Anh ấy cao và có tóc vàng.	Blond can describe a person or their hair.
90	màu xanh dương; xanh dương	the color of a clear sky, or having that color	She wore a blue dress.	Cô ấy mặc một chiếc váy xanh dương.	Blue is my favorite color.	Xanh dương là màu yêu thích của tôi.	Blue can be an adjective or a noun naming the color.
91	thuyền	a small vehicle used for traveling on water	The boat is on the lake.	Chiếc thuyền ở trên hồ.	We went across the river by boat.	Chúng tôi qua sông bằng thuyền.	Travel by boat, but get on or off a boat.
92	cơ thể	the whole physical form of a person or animal	Exercise is good for your body.	Tập thể dục tốt cho cơ thể bạn.	The human body needs water.	Cơ thể con người cần nước.	Body is countable; the plural is bodies.
93	sách	a set of printed or digital pages containing writing or pictures	This book is easy to read.	Cuốn sách này dễ đọc.	I borrowed a book from the library.	Tôi mượn một cuốn sách từ thư viện.	Read a book; a book about something describes its topic.
94	ủng; giày cổ cao	a strong shoe that covers the foot and part of the leg	My boots are wet.	Đôi ủng của tôi bị ướt.	She put on her walking boots.	Cô ấy mang đôi giày đi bộ.	Boot is often used in the plural for a pair.
95	chán; cảm thấy buồn chán	feeling tired and unhappy because something is not interesting	The children are bored at home.	Bọn trẻ cảm thấy chán ở nhà.	I'm bored with this game.	Tôi chán trò chơi này rồi.	A person is bored; a thing is boring.
96	nhàm chán	not interesting or exciting	The lesson was boring.	Bài học thật nhàm chán.	Doing the same thing every day is boring.	Làm cùng một việc mỗi ngày thật chán.	A thing is boring; a person who feels this way is bored.
97	được sinh ra	brought into life by birth	She was born in 2005.	Cô ấy sinh năm 2005.	He was born in Vietnam but grew up in Canada.	Anh ấy sinh ra ở Việt Nam nhưng lớn lên tại Canada.	Born is normally used with be: was born in a place or on a date.
98	cả hai	used to refer to two people or things together	Both answers are correct.	Cả hai câu trả lời đều đúng.	We both enjoy cooking.	Cả hai chúng tôi đều thích nấu ăn.	Both can come before a plural noun or after a subject pronoun.
99	chai	a container with a narrow top, usually for liquids	There is a bottle of water on the desk.	Có một chai nước trên bàn.	Please put the milk bottle in the fridge.	Vui lòng đặt chai sữa vào tủ lạnh.	Use a bottle of + liquid to describe an amount.
100	hộp	a container with flat sides, usually square or rectangular	The shoes are in a box.	Đôi giày ở trong hộp.	She gave me a box of chocolates.	Cô ấy tặng tôi một hộp sô-cô-la.	Use a box of to describe a container and its contents.
101	con trai; cậu bé	a male child or young male person	The boy is playing with a ball.	Cậu bé đang chơi bóng.	They have two boys and one girl.	Họ có hai con trai và một con gái.	Boy is countable.
102	bạn trai	a male person with whom someone has a romantic relationship	Her boyfriend works at the airport.	Bạn trai của cô ấy làm việc ở sân bay.	She went to the concert with her boyfriend.	Cô ấy đi xem hòa nhạc cùng bạn trai.	Boyfriend is countable.
103	bánh mì	food made by baking a mixture of flour and water	We bought fresh bread this morning.	Chúng tôi mua bánh mì tươi sáng nay.	Would you like a slice of bread?	Bạn có muốn một lát bánh mì không?	Bread is uncountable; use a loaf or slice for a countable amount.
104	làm vỡ; nghỉ giải lao	to damage something into pieces, or a short period of rest	Be careful not to break the glass.	Hãy cẩn thận đừng làm vỡ chiếc ly.	Let's take a short break after this lesson.	Hãy nghỉ giải lao ngắn sau bài học này.	Break is a verb; take a break uses it as a countable noun.
105	bữa sáng	the first meal of the day	Breakfast is ready.	Bữa sáng đã sẵn sàng.	I usually have breakfast at seven.	Tôi thường ăn sáng lúc bảy giờ.	Use have breakfast without an article for the daily meal.
106	mang; đem	to take someone or something with you to a place	Please bring your book to class.	Vui lòng mang sách đến lớp.	Can I bring a friend with me?	Tôi có thể dẫn theo một người bạn không?	Bring moves something toward the speaker or destination; take often moves it away.
107	anh/em trai	a male person who has the same parents as you	My brother is younger than me.	Em trai tôi nhỏ tuổi hơn tôi.	I share a room with my brother.	Tôi ở chung phòng với anh trai.	Brother is countable.
108	màu nâu; nâu	the color of earth or wood, or having that color	She has brown eyes.	Cô ấy có đôi mắt nâu.	Brown goes well with blue.	Màu nâu hợp với màu xanh dương.	Brown can be an adjective or a noun naming the color.
109	xây dựng	to make a structure by putting parts together	They plan to build a new school.	Họ dự định xây một ngôi trường mới.	The children built a house out of boxes.	Bọn trẻ dựng một ngôi nhà bằng các hộp giấy.	Build something out of a material means use that material to make it.
110	tòa nhà	a structure with walls and a roof	That tall building is a hotel.	Tòa nhà cao đó là một khách sạn.	The office is on the second floor of the building.	Văn phòng ở tầng hai của tòa nhà.	Building is countable.
111	xe buýt	a large road vehicle that carries many passengers	The bus is late today.	Xe buýt hôm nay đến muộn.	I go to work by bus.	Tôi đi làm bằng xe buýt.	Travel by bus, but get on or off the bus.
112	kinh doanh; doanh nghiệp	the activity of buying and selling, or an organization that does this	Her family owns a small business.	Gia đình cô ấy sở hữu một doanh nghiệp nhỏ.	They do business with companies in Asia.	Họ làm ăn với các công ty ở châu Á.	Do business with means have commercial relations with.
113	bận rộn	having many things to do	I'm busy this afternoon.	Tôi bận chiều nay.	She is busy preparing for the exam.	Cô ấy bận chuẩn bị cho kỳ thi.	Use busy doing something, without with or to.
114	nhưng	used to introduce an idea that contrasts with the previous one	The room is small but comfortable.	Căn phòng nhỏ nhưng thoải mái.	I called him, but he did not answer.	Tôi gọi cho anh ấy nhưng anh ấy không trả lời.	But joins contrasting words or clauses.
115	bơ	a soft yellow food made from cream	Put some butter on the bread.	Phết một ít bơ lên bánh mì.	Melt the butter in a small pan.	Đun chảy bơ trong một chiếc chảo nhỏ.	Butter is usually uncountable.
116	mua	to get something by paying money for it	I need to buy a new coat.	Tôi cần mua một chiếc áo khoác mới.	She bought the book for ten dollars.	Cô ấy mua cuốn sách với giá mười đô-la.	Buy something for an amount states its price.
117	bởi; bằng; cạnh	used to show the person doing something, the method, or a nearby position	The picture was painted by my aunt.	Bức tranh được dì tôi vẽ.	We traveled by train.	Chúng tôi đi bằng tàu hỏa.	By can name the agent in a passive sentence or a method of travel.
118	tạm biệt	used when leaving someone	Bye! See you tomorrow.	Tạm biệt! Hẹn gặp bạn ngày mai.	She waved and said bye to everyone.	Cô ấy vẫy tay và chào tạm biệt mọi người.	Bye is informal; goodbye is more neutral.
119	quán cà phê	a small restaurant serving drinks and simple meals	Let's meet at the cafe.	Hãy gặp nhau ở quán cà phê.	We stopped for coffee at a nearby cafe.	Chúng tôi dừng lại uống cà phê tại một quán gần đó.	Cafe is countable.
120	bánh ngọt	a sweet baked food made from flour, eggs, sugar, and other ingredients	She made a chocolate cake.	Cô ấy làm một chiếc bánh sô-cô-la.	Would you like a piece of cake?	Bạn có muốn một miếng bánh không?	Cake can be countable as a whole cake or uncountable as food.
121	gọi; cuộc gọi	an act of speaking to someone by phone, or to contact them by phone or voice	I'll call you tonight.	Tối nay tôi sẽ gọi cho bạn.	Please give me a call when you arrive.	Vui lòng gọi cho tôi khi bạn đến.	Call someone needs no preposition; give someone a call is a common noun phrase.
122	máy ảnh	a device used for taking photographs or recording video	This camera takes clear pictures.	Máy ảnh này chụp hình rõ nét.	She smiled at the camera.	Cô ấy mỉm cười trước máy ảnh.	Look or smile at the camera.
123	có thể	used to say that someone is able or allowed to do something	I can swim.	Tôi biết bơi.	Can I open the window?	Tôi có thể mở cửa sổ không?	Can is followed by the base form of a verb.
124	không thể	used to say that someone is not able or allowed to do something	I cannot hear you.	Tôi không thể nghe thấy bạn.	You cannot park here.	Bạn không được đỗ xe ở đây.	Cannot is one word; can't is its common short form.
125	thủ đô; chính; viết hoa	the main city of a country, most important, or written as a large letter	Hanoi is the capital of Vietnam.	Hà Nội là thủ đô của Việt Nam.	Begin every sentence with a capital letter.	Hãy bắt đầu mỗi câu bằng một chữ cái viết hoa.	Capital is a noun for a city and an adjective in capital letter.
126	xe hơi	a road vehicle with an engine, usually for a small number of people	Their car is parked outside.	Xe của họ đậu bên ngoài.	We traveled to the beach by car.	Chúng tôi đi đến bãi biển bằng xe hơi.	Travel by car, but get into or out of a car.
127	thẻ; thiệp	a small piece of plastic or stiff paper used for payment, identification, or messages	I paid with my card.	Tôi thanh toán bằng thẻ.	She sent me a birthday card.	Cô ấy gửi cho tôi một tấm thiệp sinh nhật.	Common compounds include credit card, ID card, and birthday card.
128	sự nghiệp; nghề nghiệp lâu dài	the series of jobs someone has during their working life	She wants a career in medicine.	Cô ấy muốn theo đuổi sự nghiệp trong ngành y.	He began his teaching career at 24.	Anh ấy bắt đầu sự nghiệp giảng dạy ở tuổi 24.	Use a career in a field and begin a career.
129	cà rốt	a long orange root vegetable	The rabbit is eating a carrot.	Con thỏ đang ăn một củ cà rốt.	Add some chopped carrots to the soup.	Thêm một ít cà rốt thái nhỏ vào súp.	Carrot is countable; carrots can also refer to the food generally.
130	mang; xách	to hold something and move it from one place to another	She carried the bag upstairs.	Cô ấy xách chiếc túi lên tầng trên.	This bus can carry 50 people.	Xe buýt này có thể chở 50 người.	Carry can refer to holding things or transporting passengers.
131	con mèo	a small animal often kept as a pet	The cat is sleeping on the chair.	Con mèo đang ngủ trên ghế.	Our cat likes to play with boxes.	Con mèo của chúng tôi thích chơi với hộp.	Cat is countable.
132	đĩa CD	a small plastic disc used to store music or computer data	This CD has ten songs.	Đĩa CD này có mười bài hát.	I listened to the album on CD.	Tôi nghe album bằng đĩa CD.	CD is pronounced as two letters and is countable.
133	xu; một phần một trăm của đô-la	a unit of money equal to one hundredth of a dollar	The candy costs fifty cents.	Viên kẹo có giá năm mươi xu.	I found a one-cent coin.	Tôi tìm thấy một đồng xu một cent.	Use cent after a number; the plural is cents.
134	trung tâm	the middle point or main part of a place	There is a fountain in the center of the park.	Có một đài phun nước ở trung tâm công viên.	The hotel is close to the city center.	Khách sạn gần trung tâm thành phố.	Use the center of a place; city center is a common compound.
135	ghế	a piece of furniture for one person to sit on	Please sit on this chair.	Vui lòng ngồi trên chiếc ghế này.	He pulled up a chair beside me.	Anh ấy kéo một chiếc ghế đến cạnh tôi.	Sit on a chair; pull up a chair means bring one closer.
136	thay đổi; sự thay đổi	to become different or make something different	The weather can change quickly.	Thời tiết có thể thay đổi nhanh chóng.	We made a small change to the plan.	Chúng tôi thực hiện một thay đổi nhỏ trong kế hoạch.	Change can be a verb; make a change uses it as a noun.
137	biểu đồ	a diagram that shows information in a clear visual form	The chart shows our monthly sales.	Biểu đồ cho thấy doanh số hàng tháng.	Look at the chart and compare the numbers.	Hãy nhìn biểu đồ và so sánh các con số.	A chart can show numbers, changes, or categories.
138	rẻ; rẻ tiền	costing little money	This restaurant is good and cheap.	Nhà hàng này ngon và rẻ.	We found a cheap flight to Bangkok.	Chúng tôi tìm được một chuyến bay giá rẻ đến Bangkok.	Cheap describes price, but can sound negative about quality in some contexts.
139	kiểm tra	to examine something to make sure it is correct or safe	Please check your answers.	Vui lòng kiểm tra câu trả lời của bạn.	Check that the door is locked.	Hãy kiểm tra xem cửa đã khóa chưa.	Use check something or check that + clause.
140	phô mai	a food made from milk that can be soft or firm	There is cheese in the sandwich.	Có phô mai trong chiếc bánh mì kẹp.	I'd like a piece of cheese.	Tôi muốn một miếng phô mai.	Cheese is usually uncountable; use a piece or slice for an amount.
